SWMM5 Interface File
*MODEL: Sewer catchment model to simulate sewer discharge from Central Fehraltorf to the the treatment plant at ARA Fehraltorf. This model includes the observed transfer flows from RUMLIKON at location 'f02' (node 555) and RUSSIKON at location 'f03' (node 11d). The model is not complete and may still contain errors! 
300  - reporting time step in sec
1    - number of constituents as listed below:
FLOW LPS
8    - number of nodes as listed below:
103d_SBW
ARA_Fehraltorf
Bacheinlauf1
Bacheinlauf2
Bacheinlauf30
Bacheinlauf47
Node_8
Notentlastung_48b
Node             Year Mon Day Hr  Min Sec FLOW      
103d_SBW         2016 06  16  04  15  00  0.419235  
ARA_Fehraltorf   2016 06  16  04  15  00  68.105630 
Bacheinlauf1     2016 06  16  04  15  00  0.000000  
Bacheinlauf2     2016 06  16  04  15  00  0.036420  
Bacheinlauf30    2016 06  16  04  15  00  0.000000  
Bacheinlauf47    2016 06  16  04  15  00  0.000000  
Node_8           2016 06  16  04  15  00  0.000000  
Notentlastung_48b 2016 06  16  04  15  00  0.000000  
103d_SBW         2016 06  16  04  20  00  0.426178  
ARA_Fehraltorf   2016 06  16  04  20  00  75.680405 
Bacheinlauf1     2016 06  16  04  20  00  0.000000  
Bacheinlauf2     2016 06  16  04  20  00  0.041821  
Bacheinlauf30    2016 06  16  04  20  00  0.000000  
Bacheinlauf47    2016 06  16  04  20  00  0.000000  
Node_8           2016 06  16  04  20  00  0.000000  
Notentlastung_48b 2016 06  16  04  20  00  0.000000  
103d_SBW         2016 06  16  04  25  00  0.335253  
ARA_Fehraltorf   2016 06  16  04  25  00  86.823039 
Bacheinlauf1     2016 06  16  04  25  00  0.000000  
Bacheinlauf2     2016 06  16  04  25  00  0.033547  
Bacheinlauf30    2016 06  16  04  25  00  0.000000  
Bacheinlauf47    2016 06  16  04  25  00  0.000000  
Node_8           2016 06  16  04  25  00  0.000000  
Notentlastung_48b 2016 06  16  04  25  00  0.000000  
103d_SBW         2016 06  16  04  30  00  0.211649  
ARA_Fehraltorf   2016 06  16  04  30  00  96.485694 
Bacheinlauf1     2016 06  16  04  30  00  0.000000  
